iteration,duration,loss,accuracy,start,game,winner
32,94.699,0.635827434874323,0.5639867966764047,[3, 4],4006622774411778855112200558866333355668800221144772288883300001111555500770033116644442255224466661180445322260,1
33,81.225,1.4613429408692156,0.5639867966764047,[3, 5],51100228877444466667711338800552200447722112255663366000077775544884422770088117788331188885411622,2
34,82.791,1.4509819317237533,0.5639867966764047,[3, 6],6220088441133555566778822777744002211448811552233006600446666111188558800551122442255447733770388887441610,2
35,83.656,1.4465137326782276,0.5639867966764047,[3, 7],788228844554411776611220055006622335511448877334400336644331155552222772255886677000011004422113188885088002244607,2
36,85.604,0.6595760987528454,0.5639867966764047,[3, 8],81166002255884477113355776622440011880033774444226655228877000066332277221111446677778566117753448366841,1
37,80.16,0.6432224984111383,0.5639867966764047,[4, 0],00055223377664411113388668877551122667788332200445566554444222211006633007700882277228880333355777733102,1
38,88.587,1.449741414255221,0.5639867966764047,[4, 1],10033227755336600888844665522117777220011668855443300556611112222333344226677887711448866447730444454000077463,2
39,80.968,0.6438571824794196,0.5639867966764047,[4, 2],2336600111188550077667788331144552288441100004433003344661166665511555566332277220022448255335177475,1
40,96.137,0.6226731230773525,0.5639867966764047,[4, 3],311557766772288558800334422006633661144551177440077881166668866004488441111002222337733224466555533554771221188883388213,1
41,91.662,1.4745170443717386,0.5639867966764047,[4, 4],48855113333227777666611882255000044220088335577116622338866774400660077556655887788002288117722443638441111526,2
42,76.413,1.448759641542667,0.5639867966764047,[4, 5],5660022336688007777551144882211335500667788443322441111776655228866444422554400883333115533704,2
43,89.939,1.4507463601290183,0.5639867966764047,[4, 6],677552288118833003322114477006633664455550077220011337788441111558855773355334433176622225515666600226688661422748,2
44,92.472,1.3853404299075696,0.5639867966764047,[4, 7],755110088882222006644336611773355774422881166553300115588662266776688770044441122331111334466338211802277225522440,2
45,91.446,1.3430167252043737,0.5639867966764047,[4, 8],8225566007755003322116677338811440055884466553344330000668800110088772277002288661188883232404717774787664666263,-1
46,96.884,1.266825424595323,0.5639867966764047,[5, 0],0668811332266004477771155448833334400222211774455886655663366441144330033551122001188227700555533772244225877338888523311110807576,2
47,75.135,1.1687943200253035,0.5639867966764047,[5, 1],1332288000066554477667744881122333366884400772244666622005555222277118833885577001111003300426,2
49,99.119,1.129051968967466,0.5557347194293736,[5, 3],311002288443366557711446688007722006622554488227733551177774444118866663388883333447700881122660000111156775877823,2
50,89.436,1.0580437962327311,0.3826687407519824,[5, 4],47700112211006666882288335533774400334466778866008855558844330000551166115500226622448811336633888803114411765,2
